variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Capacity Additions|Gases|Hydrogen;GW/yr;3;Total annual new capacity installation to produce gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Gases|+|Hydrogen;GW/yr;1;;R;
Capacity Additions|Gases|Other;GW/yr;3;Total annual new capacity installation to produce gaseous fuels from sources that do not fit any other category;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat;GW/yr;2;Total annual new capacity installation to produce centralized heat;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Biomass;GW/yr;3;Total annual new capacity installation to produce centralized heat from biomass, including biogas;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Coal;GW/yr;3;Total annual new capacity installation to produce centralized heat from coal;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Electricity;GW/yr;3;Total annual new capacity installation to produce centralized heat from electricity;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Fossil;GW/yr;3;Total annual new capacity installation to produce centralized heat from fossil fuels including natural gas, oil and coal;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Gas;GW/yr;3;Total annual new capacity installation to produce centralized heat from fossil methane ('natural gas');This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Geothermal;GW/yr;3;Total annual new capacity installation to produce centralized heat from geothermal energy excluding ground-source heat pumps;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Hydrogen;GW/yr;3;Total annual new capacity installation to produce centralized heat from hydrogen;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Nuclear;GW/yr;3;Total annual new capacity installation to produce centralized heat from nuclear energy;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Oil;GW/yr;3;Total annual new capacity installation to produce centralized heat from refined crude oil;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Other;GW/yr;3;Total annual new capacity installation to produce centralized heat from sources that do not fit any other category;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Heat|Solar;GW/yr;3;Total annual new capacity installation to produce centralized heat from solar energy;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Hydrogen;GW/yr;2;Total annual new capacity installation to produce hydrogen;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Hydrogen|Biomass;GW/yr;3;Total annual new capacity installation to produce hydrogen generated from biomass;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Hydrogen|+|Biomass;GW/yr;1;;R;
Capacity Additions|Hydrogen|Coal;GW/yr;3;Total annual new capacity installation to produce hydrogen from coal;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Hydrogen|Electricity;GW/yr;3;Total annual new capacity installation to produce hydrogen from electrolysis;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Hydrogen|+|Electricity;GW/yr;1;;R;
Capacity Additions|Hydrogen|Fossil;GW/yr;3;Total annual new capacity installation to produce hydrogen from fossil fuels including natural gas, oil and coal;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Hydrogen|Gas;GW/yr;3;Total annual new capacity installation to produce hydrogen from fossil methane ('natural gas');This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Hydrogen|+|Gas;GW/yr;1;;R;
Capacity Additions|Hydrogen|Nuclear;GW/yr;3;Total annual new capacity installation to produce hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Hydrogen|Oil;GW/yr;3;Total annual new capacity installation to produce hydrogen from refined crude oil;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Hydrogen|Other;GW/yr;3;Total annual new capacity installation to produce hydrogen from other sources;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Hydrogen|Solar;GW/yr;3;Total annual new capacity installation to produce hydrogen from solar energy (e.g. thermochemical water splitting with solar heat);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Liquids;GW/yr;2;Total annual new capacity installation to produce refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Liquids|Biomass;GW/yr;3;Total annual new capacity installation to produce liquid fuels from biomass;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Liquids|+|Biomass;GW/yr;1;;R;
Capacity Additions|Liquids|Coal;GW/yr;3;Total annual new capacity installation to produce liquid fuels from coal;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Liquids|Electricity;GW/yr;3;Total annual new capacity installation to produce liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Liquids|Fossil;GW/yr;3;Total annual new capacity installation to produce liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Liquids|Gas;GW/yr;3;Total annual new capacity installation to produce liquid fuels from fossil methane ('natural gas');This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Liquids|Hydrogen;GW/yr;3;Total annual new capacity installation to produce liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Liquids|+|Hydrogen;GW/yr;1;;R;
Capacity Additions|Liquids|Oil;GW/yr;3;Total annual new capacity installation to produce liquid fuels from refined crude oil;This variable should be computed as yearly average additions between the previous and the current reported time step.;;New Cap|Liquids|+|Oil;GW/yr;1;;R;
Capacity Additions|Liquids|Other;GW/yr;3;Total annual new capacity installation to produce sources that do not fit any other category;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Solids;GW/yr;2;Total annual new capacity installation to produce solid energy carriers, including coal, briquettes, coke, and wood pellets;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Solids|Biomass;GW/yr;3;Total annual new capacity installation to produce solid biomass (e.g., commercial charcoal, wood chips, wood pellets), not including traditional bioenergy;This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity Additions|Solids|Coal;GW/yr;3;Total annual new capacity installation to produce coal, lignite, and derived products (e.g., coke, briquettes);This variable should be computed as yearly average additions between the previous and the current reported time step.;;;;;;;
Capacity|Electricity;GW;1;Total installed (available) electricity generation capacity;;;Cap|Electricity;GW;;;R;
Capacity|Electricity|Ammonia;GW;1;Installed (available) capacity to generate electricity from ammonia;;;;;;;;
Capacity|Electricity|Biomass;GW;1;Installed (available) capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass;;;Cap|Electricity|+|Biomass;GW;;;R;
Capacity|Electricity|Biomass|w/ CCS;GW;1;Installed (available) capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass in combination with carbon capture and storage (CCS);;;Cap|Electricity|Biomass|w/ CC;GW;;;R;
Capacity|Electricity|Biomass|w/o CCS;GW;1;Installed (available) capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass without carbon capture and storage (CCS);;;Cap|Electricity|Biomass|w/o CC;GW;;;R;
Capacity|Electricity|Coal;GW;1;Installed (available) capacity to generate electricity from coal including lignite;;;Cap|Electricity|+|Coal;GW;;;R;
Capacity|Electricity|Coal|w/ CCS;GW;1;Installed (available) capacity to generate electricity from coal including lignite in combination with carbon capture and storage (CCS);;;Cap|Electricity|Coal|+|w/ CC;GW;;;R;
Capacity|Electricity|Coal|w/o CCS;GW;1;Installed (available) capacity to generate electricity from coal including lignite without carbon capture and storage (CCS);;;Cap|Electricity|Coal|+|w/o CC;GW;;;R;
Capacity|Electricity|Fossil;GW;1;Installed (available) capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil;;;;;;;;
Capacity|Electricity|Fossil|w/ CCS;GW;1;Installed (available) capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil in combination with carbon capture and storage (CCS);;;;;;;;
Capacity|Electricity|Fossil|w/o CCS;GW;1;Installed (available) capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil without carbon capture and storage (CCS);;;;;;;;
Capacity|Electricity|Gas;GW;1;Installed (available) capacity to generate electricity from natural gas (fossil methane);;;Cap|Electricity|+|Gas;GW;;;R;
Capacity|Electricity|Gas|w/ CCS;GW;1;Installed (available) capacity to generate electricity from natural gas (fossil methane) in combination with carbon capture and storage (CCS);;;Cap|Electricity|Gas|+|w/ CC;GW;;;R;
Capacity|Electricity|Gas|w/o CCS;GW;1;Installed (available) capacity to generate electricity from natural gas (fossil methane) without carbon capture and storage (CCS);;;Cap|Electricity|Gas|+|w/o CC;GW;;;R;
Capacity|Electricity|Geothermal;GW;1;Installed (available) capacity to generate electricity from geothermal sources;;;Cap|Electricity|+|Geothermal;GW;;;R;
Capacity|Electricity|Hydro;GW;1;Installed (available) capacity to generate electricity from hydropower;;;Cap|Electricity|+|Hydro;GW;;;R;
Capacity|Electricity|Hydrogen;GW;1;Installed (available) capacity to generate electricity from hydrogen;;;Cap|Electricity|+|Hydrogen;GW;1;;R;
